Especie,Variación %,Precio de compra,Precio de venta,Apertura,Precio Máximo,Precio Mínimo
ALUA,-1.720000,17.000000,17.900000,17.200000,17.650000,17.100000
BBAR,1.380000,0.000000,170.000000,161.000000,169.900000,161.000000
BMA,4.860000,305.000000,316.000000,303.600000,317.000000,300.000000
BYMA,-0.560000,343.000000,370.000000,359.000000,361.500000,348.000000
CEPU,1.620000,35.100000,41.000000,37.000000,38.200000,37.000000
COME,-2.730000,0.000000,1.880000,1.860000,1.880000,1.740000
CRES,-1.860000,40.100000,44.500000,43.350000,44.000000,42.000000
CVH,-3.270000,194.000000,260.000000,238.000000,240.000000,228.000000
EDN,2.060000,38.300000,41.000000,39.200000,40.000000,39.150000
GGAL,0.860000,151.000000,160.000000,160.550000,162.300000,157.500000
MIRG,-1.210000,300.000000,338.000000,330.000000,331.000000,322.000000
PAMP,2.560000,57.200000,59.900000,58.400000,58.600000,57.200000
SUPV,-0.690000,55.000000,68.000000,65.700000,66.700000,64.000000
TECO2,-3.840000,0.000000,140.000000,136.600000,136.600000,126.500000
TGNO4,0.000000,70.000000,79.000000,73.000000,73.900000,70.100000
TGSU2,-1.130000,134.500000,140.000000,136.950000,139.500000,135.000000
TRAN,-2.390000,40.200000,48.450000,46.200000,46.500000,44.700000
TXAR,-2.080000,11.650000,14.800000,14.550000,14.550000,14.000000
VALO,-2.240000,7.200000,7.920000,7.540000,7.900000,7.390000
YPFD,-2.400000,700.000000,780.000000,720.000000,723.000000,703.900000
